2020/10/10 16:04:46 [error] 13012#4704: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login/userLogin HTTP/1.1", upstream: "http://[::1]:12320/login/userLogin", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/"
2020/10/10 16:04:48 [error] 13012#4704: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login/userLogin HTTP/1.1", upstream: "http://127.0.0.1:12320/login/userLogin", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/"
2020/10/10 16:06:01 [error] 13012#4704: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login/userLogin HTTP/1.1", upstream: "http://127.0.0.1:12320/login/userLogin", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/"
2020/10/10 16:06:03 [error] 13012#4704: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login/userLogin HTTP/1.1", upstream: "http://[::1]:12320/login/userLogin", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/"
2020/10/10 16:09:08 [error] 13012#4704: *12 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/forget.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /forget.html HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/"
2020/10/12 09:49:33 [error] 9788#16212: *46 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 09:58:45 [error] 9788#16212: *51 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 09:58:46 [error] 9788#16212: *51 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 10:01:04 [error] 9788#16212: *61 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 10:02:52 [error] 9788#16212: *61 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 10:02:54 [error] 9788#16212: *61 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/dist/views/examset/disease_keyword.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /dist/views/examset/disease_keyword.html?v=1602468064452 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 10:02:56 [error] 9788#16212: *61 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 10:02:57 [error] 9788#16212: *61 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 10:51:15 [error] 9788#16212: *64 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/dist/views/examset/disease_keyword.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /dist/views/examset/disease_keyword.html?v=1602468064452 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 10:52:14 [error] 9788#16212: *64 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
